file,line_num,gt,pred,accuracy,cer,wer,cer_bin
1_1.png,0,Задание указано на доске. Подписывать бланк НЕ требуется,Задание указано на доске. Подлисывать бланк НЕ требуется,0.9821428571428571,0.017857142857142856,0.125,0-0.1
1_1.png,1,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ЯБЕГДЕЕХ5 ИИКЛМНОПРЕТ Ч,0.6521739130434783,0.34782608695652173,1.0,0.3-0.5
1_1.png,2,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ФХЦЧШЩЪЫЬ 3ЮЯ-Й1224567 89,0.8333333333333334,0.21739130434782608,3.0,0.2-0.3
1_1.png,3,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ЯБВГДЕЕХ= ИИКАМНОПРСТ Ч,0.6956521739130435,0.30434782608695654,1.0,0.3-0.5
1_1.png,4,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,РХЦЧШЩЪЫЬ 30Я-Й1224567В9,0.723404255319149,0.30434782608695654,2.0,0.3-0.5
1_1.png,5,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,АЯБЕГДЕЁХ2 ИИКЛМНОПРСТ ч,0.7659574468085106,0.2608695652173913,1.0,0.2-0.3
1_1.png,6,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,РхЦЧШЩЬЫЬ 309- 8123456787,0.625,0.43478260869565216,3.0,0.3-0.5
1_1.png,7,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,чо Ире: т п и!,0.16216216216216217,0.9130434782608695,1.6666666666666667,0.5-1.0
1_1.png,8,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ВБЕГДЕЕУЗИЙКЛИНОП УФХ ЦЧЬЩЬМЬ,0.23076923076923078,1.2608695652173914,3.0,>1.0
1_1.png,9,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ЮЯ- 127456789,0.05555555555555555,0.9565217391304348,1.0,0.5-1.0
1_1.png,10,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,НЕеВГДЕЁХУИИКАМНОП Р[ТУФХЦЧЬЦЩУЫЬ 3,0.27586206896551724,1.4782608695652173,3.0,>1.0
1_1.png,11,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,№Я-9125456769,0.0,1.0,1.0,>1.0
1_1.png,12,ЮЯ-0123456789,АБЕГДЕЕЖ2ИИКАМНОП РЕТУФХЦЧИЩЪЫЬ 3,0.08695652173913043,2.4615384615384617,3.0,>1.0
1_1.png,13,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,127456789,0.0,1.0,1.0,>1.0
1_1.png,14,ЮЯ-0123456789,и 1) ть,0.1,0.9230769230769231,3.0,0.5-1.0
1_1.png,15,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,ПБЕГЛЕЁХ2 ИИкАмНОй РЕТУ®ХЦЧиЩЬЫЬ 3,0.47761194029850745,0.6060606060606061,1.3333333333333333,0.5-1.0
1_1.png,16,ЮЯ-0123456789,№НЯ-0125456787,0.7407407407407407,0.3076923076923077,1.0,0.3-0.5
1_2.png,0,Задание указано на доске. Подписывать бланк НЕ требуется,Задание указано на доске. Подписывать бланк НЕ требуется,1.0,0.0,0.0,0-0.1
1_2.png,1,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ЯБЕГАЕЕХЗ ИИКЛМНОПРСТ Ч,0.6521739130434783,0.30434782608695654,1.0,0.3-0.5
1_2.png,2,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,РХЦУЩЬНЬ3НЯ-Й12745 67 Е,0.5217391304347826,0.5217391304347826,3.0,0.5-1.0
1_2.png,3,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,АБЬБГОЕЕХ А ИИКАМНОПРЕТ Ч,0.5833333333333334,0.4782608695652174,1.3333333333333333,0.3-0.5
1_2.png,4,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,РХЦНШШЬЫЬ 30Я-1127456769,0.5957446808510638,0.43478260869565216,2.0,0.3-0.5
1_2.png,5,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ЯБВГЛЕЕХ А ИИКАМНОПРСТ Ч,0.6382978723404256,0.391304347826087,1.3333333333333333,0.3-0.5
1_2.png,6,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,РХУЧШЩЗЫЬ 30-12745 в НЕ,0.4782608695652174,0.5652173913043478,4.0,0.5-1.0
1_2.png,7,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ВЬВГАЕЕХ ИИКАМНОПРЕТ Ч,0.5777777777777777,0.43478260869565216,1.0,0.3-0.5
1_2.png,8,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,хУчШиЗЬЬ ЭЯ-#12724967Н9,0.4782608695652174,0.6086956521739131,2.0,0.5-1.0
1_2.png,9,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,АЯБРГАЕЁХЗИЙКЛИНОПРСТ УФХУЧЕЩЬЫЬЭЮ,0.631578947368421,0.7391304347826086,1.0,0.5-1.0
