file,line_num,gt,pred,accuracy,cer,wer,matched,cer_bin
1_1.png,0,Задание указано на доске. Подписывать бланк НЕ требуется,Задание указано на доске. Подписывать бланк НЕ требуется,1.0,0.0,0.0,1,0-0.1
1_1.png,1,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,РБВГДЕЁЖ4 ИЙК АМНППЕЕТ,0.6666666666666666,0.391304347826087,1.0,1,0.3-0.5
1_1.png,2,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ЕХЦЧШЩЪЫЬ ЯНЯ-Ш4274567Е9,0.6808510638297872,0.34782608695652173,2.0,1,0.3-0.5
1_1.png,3,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,РБВГДЕЁЖ4 ИЙК АМНППЕЕТ,0.6666666666666666,0.391304347826087,1.0,1,0.3-0.5
1_1.png,4,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ЕХЦЧШЩЪЫЬ ЯНЯ-Ш4274567Е9,0.6808510638297872,0.34782608695652173,2.0,1,0.3-0.5
1_1.png,5,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,РБВГДЕЁЖ4 ИЙК АМНППЕЕТ,0.6666666666666666,0.391304347826087,1.0,1,0.3-0.5
1_1.png,6,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ЕХЦЧШЩЪЫЬ ЯНЯ-Ш4274567Е9,0.6808510638297872,0.34782608695652173,2.0,1,0.3-0.5
1_1.png,7,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,РБВГДЕЁЖ4 ИЙК АМНППЕЕТ,0.6666666666666666,0.391304347826087,1.0,1,0.3-0.5
1_1.png,8,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ЕХЦЧШЩЪЫЬ ЯНЯ-Ш4274567Е9,0.6808510638297872,0.34782608695652173,2.0,1,0.3-0.5
1_1.png,9,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,РБВГДЕЁЖ4 ИЙК АМНППЕЕТ,0.6666666666666666,0.391304347826087,1.0,1,0.3-0.5
1_1.png,10,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ЕХЦЧШЩЪЫЬ ЯНЯ-Ш4274567Е9,0.6808510638297872,0.34782608695652173,2.0,1,0.3-0.5
1_1.png,11,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,НБЕГДЕЁХЗИЙК  МНЦП ЕЕТЧ#ХЦЧШ Ъ4] 4 ],0.5217391304347826,0.6060606060606061,2.0,1,0.5-1.0
1_1.png,12,ЮЯ-0123456789,ШЯ-1 274567Н7,0.6153846153846154,0.46153846153846156,2.0,1,0.3-0.5
1_1.png,13,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,НБЕГДЕЁХЗИЙК  МНЦП ЕЕТЧ#ХЦЧШ Ъ4] 4 ],0.5217391304347826,0.6060606060606061,2.0,1,0.5-1.0
1_1.png,14,ЮЯ-0123456789,ШЯ-1 274567Н7,0.6153846153846154,0.46153846153846156,2.0,1,0.3-0.5
1_1.png,15,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,НБЕГДЕЁХЗИЙК  МНЦП ЕЕТЧ#ХЦЧШ Ъ4] 4 ],0.5217391304347826,0.6060606060606061,2.0,1,0.5-1.0
1_1.png,16,ЮЯ-0123456789,ШЯ-1 274567Н7,0.6153846153846154,0.46153846153846156,2.0,1,0.3-0.5
1_1.png,17,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,НБЕГДЕЁХЗИЙК  МНЦП ЕЕТЧ#ХЦЧШ Ъ4] 4 ],0.5217391304347826,0.6060606060606061,2.0,1,0.5-1.0
1_1.png,18,ЮЯ-0123456789,ШЯ-1 274567Н7,0.6153846153846154,0.46153846153846156,2.0,1,0.3-0.5
1_1.png,19,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,НБЕГДЕЁХЗИЙК  МНЦП ЕЕТЧ#ХЦЧШ Ъ4] 4 ],0.5217391304347826,0.6060606060606061,2.0,1,0.5-1.0
1_1.png,20,ЮЯ-0123456789,ШЯ-1 274567Н7,0.6153846153846154,0.46153846153846156,2.0,1,0.3-0.5
1_2.png,0,Задание указано на доске. Подписывать бланк НЕ требуется,Задание указано на доске Подписывать бланк НЕ требуется,0.990990990990991,0.017857142857142856,0.125,1,0-0.1
1_2.png,1,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,НБВГДЕЁХ 4 ИИК /МНПППЕТ ц,0.5833333333333334,0.4782608695652174,1.6666666666666667,1,0.3-0.5
1_2.png,2,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ТХЦЧШЩЪЫН ЗКЯ-1/22456799,0.6808510638297872,0.391304347826087,2.0,1,0.3-0.5
1_2.png,3,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,НБВГДЕЁХ 4 ИИК /МНПППЕТ ц,0.5833333333333334,0.4782608695652174,1.6666666666666667,1,0.3-0.5
1_2.png,4,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ТХЦЧШЩЪЫН ЗКЯ-1/22456799,0.6808510638297872,0.391304347826087,2.0,1,0.3-0.5
1_2.png,5,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,НБВГДЕЁХ 4 ИИК /МНПППЕТ ц,0.5833333333333334,0.4782608695652174,1.6666666666666667,1,0.3-0.5
1_2.png,6,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ТХЦЧШЩЪЫН ЗКЯ-1/22456799,0.6808510638297872,0.391304347826087,2.0,1,0.3-0.5
1_2.png,7,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,НБВГДЕЁХ 4 ИИК /МНПППЕТ ц,0.5833333333333334,0.4782608695652174,1.6666666666666667,1,0.3-0.5
1_2.png,8,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ТХЦЧШЩЪЫН ЗКЯ-1/22456799,0.6808510638297872,0.391304347826087,2.0,1,0.3-0.5
1_2.png,9,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,НБВГДЕЁХ 4 ИИК /МНПППЕТ ц,0.5833333333333334,0.4782608695652174,1.6666666666666667,1,0.3-0.5
1_2.png,10,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ТХЦЧШЩЪЫН ЗКЯ-1/22456799,0.6808510638297872,0.391304347826087,2.0,1,0.3-0.5
1_2.png,11,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,ПБ&Г ДЕЕЖЗИЙК /МН.ПРСт 4% ХцъШщЪыЬ 7Ю,0.5428571428571428,0.5757575757575758,2.0,1,0.5-1.0
1_2.png,12,ЮЯ-0123456789,Я-[1274567.9,0.72,0.3076923076923077,1.0,1,0.3-0.5
1_2.png,13,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,ПБ&Г ДЕЕЖЗИЙК /МН.ПРСт 4% ХцъШщЪыЬ 7Ю,0.5428571428571428,0.5757575757575758,2.0,1,0.5-1.0
1_2.png,14,ЮЯ-0123456789,Я-[1274567.9,0.72,0.3076923076923077,1.0,1,0.3-0.5
1_2.png,15,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,ПБ&Г ДЕЕЖЗИЙК /МН.ПРСт 4% ХцъШщЪыЬ 7Ю,0.5428571428571428,0.5757575757575758,2.0,1,0.5-1.0
1_2.png,16,ЮЯ-0123456789,Я-[1274567.9,0.72,0.3076923076923077,1.0,1,0.3-0.5
